pst_no,bbs_no,pst_nm,unty_atch_file_no,use_yn,inpt_dt,odn3_col_cn,bulk_pst_cn
3447,R23AB00000108,변경공고사유 공지사항,2caf45a2-3411-421f-b0e5-4162e0748ede,True,2026-02-03 15:17:31,A,단수 입찰로 인한 재입찰 시행
3411,R23AB00000108,변경공고사유 공지사항,11f70617-af2e-4f6d-847f-5d8f4f8e049e,True,2026-01-30 11:50:17,A,입찰서식 오기로 인한 변경공고
3371,R23AB00000108,변경공고사유 공지사항,a3a2850b-6cf5-4c25-accf-8204cfeecb1e,True,2026-01-26 10:58:44,A,지침서 오류등록으로 재 등록함
3370,R23AB00000108,변경공고사유 공지사항,bb9a657b-3339-43ac-b73f-17c9c2666475,True,2026-01-26 10:28:46,A,"부대업무 입찰 공고 및 지침서 첨부 서류가 다른 공고문으로 등록 오류로 인한 
정상 공고 및 지침서 첨부"
